"","Target","Correlation","Slope","r","p","q"
"1151","HTR2A","ZNF354A",0.0181454760367341,0.0222396225632176,0.603750067438531,0.786761806630836
"1152","HTR2A","ZNF461",0.0156817493133176,0.0192489141485212,0.61116210418554,0.789023521502694
"1153","HTR2A","ZBTB37",0.0180239464887951,0.0210846121352724,0.608966709938506,0.789023521502694
"1154","HTR2A","ZNF561",0.018574011957379,0.0218850185392898,0.609534692156426,0.789023521502694
"1155","HTR2A","ZNF517",-0.0154107556078146,-0.0215254631582884,0.615425039986659,0.79207481998283
"1156","HTR2A","ZNF394",-0.0146458497273674,-0.0209298445600989,0.625237106691065,0.802227303046689
"1157","HTR2A","ZNF471",0.0174450262918508,0.0206043842028282,0.630626918609859,0.804193960429087
"1158","HTR2A","FOXK1",0.0151436145064569,0.0187204168716758,0.629885142652534,0.804193960429087
"1159","HTR2A","E2F5",0.0133486387110357,0.0170833850845439,0.651373109228783,0.824361597278206
"1160","HTR2A","ZHX3",0.0175256725531132,0.0193030155539284,0.652372487054696,0.824361597278206
"1161","HTR2A","GFI1B",0.0156744227239673,0.0193881073486025,0.650941320428232,0.824361597278206
"1162","HTR2A","RAB7A",0.0141353790682257,0.0163508174792067,0.664946314834197,0.827339768518304
"1163","HTR2A","ZNF569",-0.0118870264693781,-0.0185752905866561,0.664663875103424,0.827339768518304
"1164","HTR2A","NR2F6",0.0160633228721625,0.0162756775445027,0.666840182483529,0.827339768518304
"1165","HTR2A","PRL",-0.0179311227397581,-0.0164016396428524,0.66396854350841,0.827339768518304
"1166","HTR2A","VAX1",-0.0165087375330074,-0.0165121897230506,0.662296105808895,0.827339768518304
"1167","HTR2A","SIM1",0.0189148461557851,0.0160803848463371,0.670601538990856,0.827339768518304
"1168","HTR2A","SNAI2",0.018769739983664,0.0161838069699266,0.668163442263616,0.827339768518304
"1169","HTR2A","ZNF696",-0.0148322773814795,-0.0183108729802471,0.669152517356843,0.827339768518304
"1170","HTR2A","SPI1",0.0147643527946854,0.0156314608529506,0.679279025618598,0.835573314698983
"1171","HTR2A","IRF1",-0.0123968327570559,-0.0150362880706429,0.690848965104914,0.847305936613968
"1172","HTR2A","HOXA2",-0.0141415445385884,-0.014655097526881,0.698297415341618,0.850759353467269
"1173","HTR2A","HOXB3",0.0149371946071512,0.0147468015505522,0.69650283870411,0.850759353467269
"1174","HTR2A","FOXI1",-0.0130089446211043,-0.0145687234855356,0.699785271557011,0.850759353467269
"1175","HTR2A","PAX8",-0.00988967164615395,-0.0141021374832306,0.709153798150703,0.854673797193188
"1176","HTR2A","SP6",-0.0142614819625303,-0.0161714236787605,0.705893287418924,0.854673797193188
"1177","HTR2A","ZNF28",0.0206093399421006,0.0202209625302865,0.708208745223564,0.854673797193188
"1178","HTR2A","ESR1",0.0129059667895882,0.0139773748920781,0.711218038501928,0.854691418026812
"1179","HTR2A","HTR4",-0.01054852616273,-0.0136454434647898,0.718357878819751,0.858182126656915
"1180","HTR2A","CTCFL",0.0110976531897723,0.0135376937920844,0.720296748992615,0.858182126656915
"1181","HTR2A","TCF7",0.0162132466473565,0.0136572859393475,0.717930774388802,0.858182126656915
"1182","HTR2A","ISX",0.0166624932081596,0.0150282003168882,0.725816594215477,0.862294928170524
"1183","HTR2A","SOX9",0.0123038473520251,0.0130509347201137,0.729954031949935,0.864746679895235
"1184","HTR2A","FOXN1",0.0118820210525081,0.0129311464392718,0.732521316362661,0.864773834885638
"1185","HTR2A","RHOXF1",0.0124618458254865,0.0145546597553409,0.734124550478455,0.864773834885638
"1186","HTR2A","HDX",-0.00846933481945491,-0.013931012235699,0.745113425671592,0.87303450921734
"1187","HTR2A","HMX3",0.00945950920642511,0.0131496907667785,0.749511641006733,0.87303450921734
"1188","HTR2A","PBX3",0.0115467147137966,0.0121614563535315,0.747711123538876,0.87303450921734
"1189","HTR2A","MXD4",0.0133582382087666,0.0122706594056576,0.745699294615115,0.87303450921734
"1190","HTR2A","CEBPE",0.0114520094865707,0.0134086667836793,0.754357407245071,0.87623130590862
"1191","HTR2A","ZNF654",-0.0150300782238431,-0.0163165348424157,0.76266243957985,0.880970186439882
"1192","HTR2A","ZNF324",-0.0120602872551632,-0.0129777629566653,0.762009713071973,0.880970186439882
"1193","HTR2A","TWIST2",-0.0122975584826831,-0.0109146093916827,0.772827107132099,0.890245590259904
"1194","HTR2A","TCF15",0.00897769255279789,0.0105983321875716,0.785166087497801,0.892136944105131
"1195","HTR2A","EBF3",0.0111124452027615,0.0147952702916186,0.784217123089023,0.892136944105131
"1196","HTR2A","RUNX1",0.00797040494150984,0.0103404665071527,0.784474542007031,0.892136944105131
"1197","HTR2A","MYBL1",0.0103364312066889,0.0103154358137216,0.784983449289665,0.892136944105131
"1198","HTR2A","ZNF772",-0.010475938426063,-0.0117365177267775,0.784180267215901,0.892136944105131
"1199","HTR2A","RAP1B",-0.00903798337620394,-0.00996415587928758,0.791844896001745,0.896627153917503
"1200","HTR2A","ETV3L",-0.0156156395847873,-0.0151310640891727,0.793418272891028,0.896627153917503
"1201","HTR2A","RAB27B",-0.00715433031526033,-0.00847088698948291,0.822848816205017,0.909433861143584
"1202","HTR2A","PGR",-0.00690765776119917,-0.0087353084044079,0.81728650944375,0.909433861143584
"1203","HTR2A","HOXB6",0.0075978297628329,0.0084495529324294,0.823163254332019,0.909433861143584
"1204","HTR2A","ZNF454",-0.00779468914072227,-0.00967100563256948,0.821455264449594,0.909433861143584
"1205","HTR2A","FLI1",-0.00610292076576778,-0.00824482940341188,0.827379638934219,0.909433861143584
"1206","HTR2A","ZNF689",-0.00785164696748722,-0.00883194976439637,0.815301317101432,0.909433861143584
"1207","HTR2A","SP3",0.00717895584489098,0.00870872928685343,0.817832699391581,0.909433861143584
"1208","HTR2A","SP100",0.00813444271816785,0.00817879635745912,0.828740688811899,0.909433861143584
"1209","HTR2A","TEF",0.00699283924948824,0.00838000497304848,0.82459506492725,0.909433861143584
"1210","HTR2A","SHOX",0.0095503580087589,0.00998631508643001,0.81573673830596,0.909433861143584
"1211","HTR2A","ZNF582",-0.0122282372161913,-0.0101795964477153,0.812236153688993,0.909433861143584
"1212","HTR2A","FOXP2",-0.00657394929244093,-0.00715702487902243,0.84986405244945,0.927472178044594
"1213","HTR2A","HOXD9",-0.00739912344484571,-0.00702870951869675,0.85252469782769,0.927472178044594
"1214","HTR2A","TFAP2C",-0.00614070881518412,-0.00695397539799744,0.854075099206532,0.927472178044594
"1215","HTR2A","HIVEP3",-0.00672798531989127,-0.00704695346776183,0.851937522998085,0.927472178044594
"1216","HTR2A","KLF12",-0.00696275315266378,-0.00676162635487083,0.858068061355976,0.929388004118032
"1217","HTR2A","EMX1",0.00597360856169176,0.00647630483539729,0.86399768360534,0.930980069491893
"1218","HTR2A","ZNF570",0.0103637093087306,0.0101723248851575,0.86400308607521,0.930980069491893
"1219","HTR2A","HOXB7",-0.00499336890399713,-0.00624763369252647,0.868755524108637,0.93368828235387
"1220","HTR2A","RERG",0.00502969456459408,0.00577456803361552,0.878441167367236,0.935252101703872
"1221","HTR2A","NR1D1",0.00494121075758861,0.00585055986265727,0.87702841047732,0.935252101703872
"1222","HTR2A","JUN",0.0057945663625078,0.00597300989468679,0.874475736244143,0.935252101703872
"1223","HTR2A","ZSCAN9",-0.0060146399432155,-0.00651416020273524,0.879181831817549,0.935252101703872
"1224","HTR2A","ZBED1",0.00533677069837223,0.0063831344850329,0.881593913676291,0.935431709931332
"1225","HTR2A","FOSL2",-0.00497133733064385,-0.00527796145317585,0.88898169531839,0.940494081473623
"1226","HTR2A","ZNF12",-0.0050028422299251,-0.00587948651287598,0.890875688686046,0.940494081473623
"1227","HTR2A","NR3C1",0.0048020285442558,0.00472691453526312,0.900508948246491,0.948263210653502
"1228","HTR2A","RAB10",0.00429039239690202,0.00443615558830302,0.906467074172523,0.949677025069828
"1229","HTR2A","PAX7",-0.00260320290909508,-0.00429341977417764,0.909592010813345,0.949677025069828
"1230","HTR2A","HES3",0.003960471577696,0.00411366997718165,0.91323857806475,0.949677025069828
"1231","HTR2A","USF2",0.00410567697444792,0.00415222131229545,0.912553163916579,0.949677025069828
"1232","HTR2A","ZNF560",-0.00456415867829602,-0.00509507275876353,0.905361004468348,0.949677025069828
"1233","HTR2A","GATA3",-0.00280251241354626,-0.00392742953924693,0.917269884036474,0.95017868257355
"1234","HTR2A","FOXI2",-0.00317070185166103,-0.00376974792413381,0.920523641444893,0.95017868257355
"1235","HTR2A","SREBF1",0.00345481762354715,0.00371170425161341,0.92179910161749,0.95017868257355
"1236","HTR2A","HOXD8",-0.00316069223699931,-0.00366236233531171,0.922835411132585,0.95017868257355
"1237","HTR2A","ZNF669",-0.00285322674216661,-0.00338683179756408,0.937008482391961,0.962395411717852
"1238","HTR2A","ZNF701",0.0029557540324848,0.00310819930822107,0.942181292715668,0.964266518952138
"1239","HTR2A","KLF2",-0.00225413952434913,-0.0026817814505347,0.943455011348855,0.964266518952138
"1240","HTR2A","ZNF425",-0.00286907848733496,-0.00332501202190815,0.950932832637928,0.969442477091904
"1241","HTR2A","ZNF90",0.00178608910501137,0.00221732731224697,0.953168862368539,0.969442477091904
"1242","HTR2A","HOMEZ",-0.00191261462662143,-0.00197929510474472,0.963162029908651,0.974850889494921
"1243","HTR2A","ZSCAN5A",-0.00182401461708373,-0.00207775562146628,0.961330913661338,0.974850889494921
"1244","HTR2A","ESRRG",0.0014016781023575,0.00144100739827278,0.969598480825073,0.976624556773081
"1245","HTR2A","FOSL1",0.00138729924594593,0.0014915244331421,0.968533244587141,0.976624556773081
"1246","HTR2A","CREB3L4",-0.000824648975914531,-0.000881068193582982,0.981408934483981,0.986138616095952
"1247","HTR2A","SNAI3",0.000506321880469009,0.000482148424738764,0.989811202564686,0.992190556417005
"1248","HTR2A","ZSCAN26",-0.000157461916282133,-0.000145622685371346,0.997288764158609,0.997288764158609
"1249","HTR2B","ZNF471",0.153017684047676,0.191290846181988,6.62630117250812e-06,0.000921055862978629
"1250","HTR2B","HIVEP2",0.15396963559491,0.170623588942987,5.46647010217848e-06,0.000921055862978629
"1251","HTR2B","LHX2",0.163143422502979,0.163241667452114,1.38254499206307e-05,0.00144130315422575
"1252","HTR2B","ZBTB22",0.137444349960353,0.159514260987887,2.20527828490895e-05,0.00183920208961407
"1253","HTR2B","ZSCAN9",0.151475458772258,0.173642340101304,4.4473579439841e-05,0.00309091377106895
"1254","HTR2B","RUNX1",0.115297970644895,0.148947686062758,7.44814534674182e-05,0.00443696658513049
"1255","HTR2B","HOXC13",0.120345611012018,0.147672682506225,8.59378231221029e-05,0.00447950903023961
"1256","HTR2B","ZNF225",0.152516814350135,0.165113023344445,0.000104674407086078,0.00484991419498828
"1257","HTR2B","EN1",0.126762685082774,0.13571312889459,0.000310898158126476,0.0129644531938741
"1258","HTR2B","E2F5",0.0999976911735932,0.127432228003203,0.000714010726134037,0.0227567686387777
"1259","HTR2B","HOXA11",0.0960435475246902,0.126903446970696,0.000751723908530474,0.0227567686387777
"1260","HTR2B","MYB",0.0848498107124647,0.126736400722736,0.000764016213292298,0.0227567686387777
"1261","HTR2B","NFYB",0.148332336757097,0.128693996156055,0.000630993340256107,0.0227567686387777
"1262","HTR2B","MYBL1",0.125784837316904,0.124996429195481,0.000903602433388216,0.0251201476481924
"1263","HTR2B","NR3C2",0.135536047260834,0.121474872086901,0.00126093925201627,0.0309300981229874
"1264","HTR2B","HEY2",0.127470485614654,0.12190114162562,0.00121164109200714,0.0309300981229874
"1265","HTR2B","MKX",0.0820295633008813,0.116955073766258,0.00190992038457698,0.0420499357363721
"1266","HTR2B","DLX1",0.102903845381717,0.116920203044257,0.00191594431412727,0.0420499357363721
